ref_area.label,indicator.label,source.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
North Macedonia,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,18.39,,,,Repository: Eurostat special tabulation
Malta,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,3.35,,,,Repository: Eurostat special tabulation
Malta,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,4.01,,,,Repository: Eurostat special tabulation
Myanmar,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,0.44,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Myanmar,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,0.59,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Montenegro,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,14.68,,,,Repository: ILO-STATISTICS - Micro data processing
Montenegro,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,15.69,,,,Repository: ILO-STATISTICS - Micro data processing
Mongolia,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,11.03,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Mongolia,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,8.87,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Mauritius,Unemployment rate by sex and age (%),LFS - Continuous Multi-Purpose Household Survey,Sex: Male,Age (Aggregate bands): Total,2019,4.1,,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Mauritius,Unemployment rate by sex and age (%),LFS - Continuous Multi-Purpose Household Survey,Sex: Female,Age (Aggregate bands): Total,2019,9.68,,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Malaysia,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,3.17,,,,Employment definition: Excluding own-use production workers | Age coverage - maximum age: 64 years old
Malaysia,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,3.41,,,,Employment definition: Excluding own-use production workers | Age coverage - maximum age: 64 years old
Nigeria,Unemployment rate by sex and age (%),HS - General Household Survey,Sex: Male,Age (Aggregate bands): Total,2019,9.41,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Nigeria,Unemployment rate by sex and age (%),HS - General Household Survey,Sex: Female,Age (Aggregate bands): Total,2019,7.5,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Netherlands,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,3.4,,,,Repository: Eurostat special tabulation
Netherlands,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,3.36,,,,Repository: Eurostat special tabulation
Norway,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,3.95,,,,Repository: Eurostat special tabulation
Norway,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,3.39,,,,Repository: Eurostat special tabulation
New Zealand,Unemployment rate by sex and age (%),LFS - Household Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,3.82,,,,
New Zealand,Unemployment rate by sex and age (%),LFS - Household Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,4.42,,,,
Panama,Unemployment rate by sex and age (%),LFS - Encuesta de Mercado Laboral,Sex: Male,Age (Aggregate bands): Total,2019,3.97,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: August
Panama,Unemployment rate by sex and age (%),LFS - Encuesta de Mercado Laboral,Sex: Female,Age (Aggregate bands): Total,2019,5.79,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: August
Peru,Unemployment rate by sex and age (%),HS - Encuesta Nacional de Hogares,Sex: Male,Age (Aggregate bands): Total,2019,3.08,,,Unemployment definition: Two criteria (not in employment and seeking or currently available),Repository: ILO-STATISTICS - Micro data processing
Peru,Unemployment rate by sex and age (%),HS - Encuesta Nacional de Hogares,Sex: Female,Age (Aggregate bands): Total,2019,3.74,,,Unemployment definition: Two criteria (not in employment and seeking or currently available),Repository: ILO-STATISTICS - Micro data processing
Philippines,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,2.05,,,,Repository: ILO-STATISTICS - Micro data processing
Philippines,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,2.53,,,,Repository: ILO-STATISTICS - Micro data processing
Poland,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,3.02,,,,Repository: Eurostat special tabulation
Poland,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,3.6,,,,Repository: Eurostat special tabulation
Portugal,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,5.8,,,,Repository: Eurostat special tabulation
Portugal,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,7.15,,,,Repository: Eurostat special tabulation
Paraguay,Unemployment rate by sex and age (%),HS - Encuesta Permanente de Hogares Continua,Sex: Male,Age (Aggregate bands): Total,2019,5.36,,,,Repository: ILO-STATISTICS - Micro data processing
Paraguay,Unemployment rate by sex and age (%),HS - Encuesta Permanente de Hogares Continua,Sex: Female,Age (Aggregate bands): Total,2019,8.29,,,,Repository: ILO-STATISTICS - Micro data processing
Occupied Palestinian Territory,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,21.35,,,,Repository: ILO-STATISTICS - Micro data processing
Occupied Palestinian Territory,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,41.19,,,,Repository: ILO-STATISTICS - Micro data processing
Qatar,Unemployment rate by sex and age (%),LFS - Labor Force Sample Survey,Sex: Male,Age (Aggregate bands): Total,2019,0.1,,,,Employment definition: Excluding own-use production workers
Qatar,Unemployment rate by sex and age (%),LFS - Labor Force Sample Survey,Sex: Female,Age (Aggregate bands): Total,2019,0.4,,,,Employment definition: Excluding own-use production workers
Romania,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,4.31,,,,Repository: Eurostat special tabulation
Romania,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,3.38,,,,Repository: Eurostat special tabulation
Russian Federation,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,4.65,,,,Repository: ILO-STATISTICS - Micro data processing
Russian Federation,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,4.33,,,,Repository: ILO-STATISTICS - Micro data processing
Rwanda,Unemployment rate by sex and age (%),LFS - Enquête sur la Population Active,Sex: Male,Age (Aggregate bands): Total,2019,13.9,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Rwanda,Unemployment rate by sex and age (%),LFS - Enquête sur la Population Active,Sex: Female,Age (Aggregate bands): Total,2019,17.02,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Senegal,Unemployment rate by sex and age (%),LFS - Enquête Nationale sur l'Emploi,Sex: Male,Age (Aggregate bands): Total,2019,2.75,,,,Repository: ILO-STATISTICS - Micro data processing
Senegal,Unemployment rate by sex and age (%),LFS - Enquête Nationale sur l'Emploi,Sex: Female,Age (Aggregate bands): Total,2019,3.05,,,,Repository: ILO-STATISTICS - Micro data processing
Singapore,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,2.96,,,,"Data reference period: June | Population coverage: Nationals, residents"
Singapore,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,3.32,,,,"Data reference period: June | Population coverage: Nationals, residents"
El Salvador,Unemployment rate by sex and age (%),HS - Encuesta de Hogares de Propósitos Múltiples,Sex: Male,Age (Aggregate bands): Total,2019,4.02,,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
El Salvador,Unemployment rate by sex and age (%),HS - Encuesta de Hogares de Propósitos Múltiples,Sex: Female,Age (Aggregate bands): Total,2019,4.38,,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
San Marino,Unemployment rate by sex and age (%),"OE - Estimates of the Office of economic planning, data processing and statistics",Sex: Male,Age (Aggregate bands): Total,2019,3.14,,,Unemployment definition: Registered unemployed,Data reference period: End of the year
San Marino,Unemployment rate by sex and age (%),"OE - Estimates of the Office of economic planning, data processing and statistics",Sex: Female,Age (Aggregate bands): Total,2019,9.16,,,Unemployment definition: Registered unemployed,Data reference period: End of the year
Serbia,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,9.85,,,,Repository: ILO-STATISTICS - Micro data processing
Serbia,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,11.08,,,,Repository: ILO-STATISTICS - Micro data processing
Slovakia,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,5.59,,,,Repository: Eurostat special tabulation
Slovakia,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,5.96,,,,Repository: Eurostat special tabulation
Slovenia,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,4.01,,,,Repository: Eurostat special tabulation
Slovenia,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,4.95,,,,Repository: Eurostat special tabulation
Sweden,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,6.72,,,,Repository: Eurostat special tabulation
Sweden,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,6.96,,,,Repository: Eurostat special tabulation
Seychelles,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,3.19,,,,Repository: ILO-STATISTICS - Micro data processing
Seychelles,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,2.75,,,,Repository: ILO-STATISTICS - Micro data processing
Thailand,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,0.7,,,,Repository: ILO-STATISTICS - Micro data processing
Thailand,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,0.73,,,,Repository: ILO-STATISTICS - Micro data processing
Turkey,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,12.33,,,,Repository: Eurostat special tabulation
Turkey,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,16.41,,,,Repository: Eurostat special tabulation
"Taiwan, China",Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,3.85,,,,
"Taiwan, China",Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,3.58,,,,
Ukraine,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,8.5,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers (although not measured separately)
Ukraine,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,7.86,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers (although not measured separately)
Uruguay,Unemployment rate by sex and age (%),LFS - Encuesta Continua de Hogares,Sex: Male,Age (Aggregate bands): Total,2019,7.34,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Uruguay,Unemployment rate by sex and age (%),LFS - Encuesta Continua de Hogares,Sex: Female,Age (Aggregate bands): Total,2019,10.69,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
United States,Unemployment rate by sex and age (%),LFS - Current Population Survey,Sex: Male,Age (Aggregate bands): Total,2019,3.72,,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
United States,Unemployment rate by sex and age (%),LFS - Current Population Survey,Sex: Female,Age (Aggregate bands): Total,2019,3.61,,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Uzbekistan,Unemployment rate by sex and age (%),HS - General Household Survey,Sex: Male,Age (Aggregate bands): Total,2019,6.04,,,,Employment definition: Excluding own-use production workers | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 60 for men and 55 for women
Uzbekistan,Unemployment rate by sex and age (%),HS - General Household Survey,Sex: Female,Age (Aggregate bands): Total,2019,12.83,,,,Employment definition: Excluding own-use production workers | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 60 for men and 55 for women
Viet Nam,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,2.07,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Viet Nam,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,2.01,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Vanuatu,Unemployment rate by sex and age (%),HIES - Household Income and Expenditure Survey,Sex: Male,Age (Aggregate bands): Total,2019,6.74,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Vanuatu,Unemployment rate by sex and age (%),HIES - Household Income and Expenditure Survey,Sex: Female,Age (Aggregate bands): Total,2019,9.35,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
South Africa,Unemployment rate by sex and age (%),LFS - Quarterly Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,26.79,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
South Africa,Unemployment rate by sex and age (%),LFS - Quarterly Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,30.5,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Zambia,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,12.07,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Zambia,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,13.18,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Zimbabwe,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,16.04,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Zimbabwe,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,17.9,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
